"id","article_announcement_picture","title","id_magazine","text","author","year_release"
1,templates/images/alpaca.jpg,Alpaca,2,"Alpaca is valued for its excellent curly wool, which is used to make sweaters. The alpaca is also very cute, although it can be quite short-tempered. You can interact with alpacas at any of the many farms in Peru. And Machu Picchu is a great place to watch wild alpacas.",Arkady Yakovlevich Abramov,2020
2,templates/images/belugawhale.jpg,Beluga Whale,4,"About four meters long, the white, baby-faced beluga whale that lives in the frigid seas of the Arctic is about one-fifth the size of the blue whale. With its relatively small size, original muzzle and bump on the forehead, the beluga whale is undoubtedly charming. In captivity, the white whale can chirp on command and blow bubbles.",Sazonov Gordey Stanislavovich,2020
3,templates/images/bottlenosedolphin.jpeg,Bottlenose Dolphin,1,"In captivity, bottlenose dolphins are praised for their intelligence and healing properties - swimming with dolphins is good for mental health. In nature, dolphins can become aggressive and form gangs. However, this does not matter to most people - dolphins are so adorable. You can meet bottlenose dolphins in warm oceans around the world.",Maslov Willie Naumovich,2021
4,templates/images/chameleon.jpg,Chameleon The,3,"chameleon is one of the most attractive reptiles, perhaps due to its bulging eyes, sadly twisted mouth, prehensile tail or very long tongue. He also has a remarkable ability to change color with mood swings and the ability to move around like a sailor during a pitching. Not the most efficient form of transportation, but certainly eye-catching. About half of all chameleons in the world can be found in Madagascar.",Yakovlev Robert Mikhaylovich,2022
5,templates/images/chinchilla.jpg,Chinchilla,2,"Native South American rodents are a prime example of how dangerous it is to be cute. For the sake of plush skins, the animals were ruthlessly hunted until their almost complete disappearance in the 19th century. Their skins are so soft, as there are 50 hairs per follicle in a chinchilla. In humans, for example, one follicle serves only one hair. Seeing chinchillas in the wild is difficult. They are few and live in the mountains. A relatively large population of these animals has been preserved in the Las Chinchillas National Reserve in Chile.",Maksimov Zinoviy Vsevolodovich,2019
6,templates/images/clownfish.jpeg,Clownfish,1,"Of course, real-life clownfish can't talk or bulge their eyes comically, as Pixar showed. But she can do a bunch of other cool things! For example, change gender. You can find clown fish next to their underwater friends - sea anemones. The anemone venom does not affect the bright orange fish and protects it from predators. And the clown pays for security by eating anemone leftovers and keeping it clean. In the Philippines, there is a marine reserve with a real city of clown fish, where you will meet hundreds of species of these fish.",Zhukov Ovidiy Nathanovich,2018
7,templates/images/fennec.jpg,Fennec,4,"The fennec, the nocturnal animal of the desert, is immortalized in Antoine de Saint-Exupery's The Little Prince as a fox that wanted to be tamed. The smallest of the foxes - smaller than the domestic cat - with large ears and a tiny pointed snout, the fennec fox looks adorable and seductive. Not surprisingly, it is the commercial capture of fox cubs that poses the greatest threat to these animals, which everyone wants to take home. For those who prefer to observe this pleasant creature in the wild, there is the Sahara and other dry, sandy regions of North Africa from Morocco to Egypt.",Jan Timurovich Fadeev,2017
8,templates/images/giantpanda.jpg,Giant panda,5,"Black and white coloration, fat ass and incredibly thoughtful appearance when eating bamboo - these are the qualities that make the panda so charming. Although the panda has a predatory digestive system, it eats like a herbivore, consuming up to 38 kilograms of bamboo a day. Therefore, the panda is extremely dependent on its habitat. According to the World Wildlife Fund, only 1,600 of these cute bears are left in the wild.",Ilya Khristoforovich Bragin,2018
9,templates/images/harpseal.jpg,Harp seal,3,"It is no coincidence that many of the animals on this list are threatened with extinction. After all, quite often part of what makes them cute is a soft beautiful skin. Harp seal pups are covered in fluffy, snow-white fur, making them traditional targets for the fur industry. Despite the fact that the import of their fur has been banned in Europe since 1983, and seal hunting was banned in Canada in 1987, hundreds of thousands of these animals are still killed by poachers every year.",Rozhkov Mstislav Vladislavovich,2018
10,templates/images/hippo.jpg,Pygmy Hippo,2,"Like its big cousin, the pygmy hippo has squat legs, a broad muzzle, and extremely high swimming skills. But unlike its cousin, the pygmy hippo is not one of the most dangerous animals in Africa. Without the threat of being snatched up by a huge maw full of teeth, it's easy to accept that a hippopotamus, when at a dwarf size, can be quite cute. The pygmy hippopotamus is an endangered species. Therefore, it is much easier to find it in zoos than in the wild.",Shilov Rostislav Feliksovich,2019
